MOTIVO_VIAGEM,MOTIVOS_PRIMARIOS,HORARIO_INICIO_VIAGEM,TEMPO_ENTRE_EMBARQUES,TEMPO_DESLOCAMENTO,AH_ORIGEM,AH_DESTINO,ID_VIAGEM,QTD_VIAGENS_IND
Trabalho,Trabalho,6.333333333333333,7.666666666666667,1.5,1646,1069,1,2
Residência,Residência,14.0,16.333333333333332,1.2,1069,1646,2,2
Trabalho,Trabalho,7.333333333333333,7.5,1.3333333333333333,1646,1012,1,2
Residência,Residência,14.833333333333334,16.5,1.0333333333333334,1012,1646,2,2
Trabalho,Trabalho,5.5,12.0,1.75,1646,1024,1,2
Residência,Residência,17.5,12.0,2.083333333333333,1024,1646,2,2
Trabalho,Trabalho,6.333333333333333,11.5,1.2,1646,1526,1,2
Escola,Escola,17.833333333333332,13.166666666666666,0.5833333333333334,1526,1075,2,2
Trabalho,Trabalho,7.0,5.0,1.0,1649,1405,1,2
Residência,Residência,12.0,18.83333333333333,1.3333333333333333,1405,1649,2,2
Trabalho,Trabalho,6.833333333333333,11.166666666666666,1.1666666666666667,1649,1016,1,2
Residência,Residência,18.0,12.833333333333334,1.5833333333333333,1016,1649,2,2
Trabalho,Trabalho,5.0,9.0,1.0,1649,1025,1,2
Residência,Residência,14.0,15.0,2.1666666666666665,1025,1649,2,2
Trabalho,Trabalho,6.0,11.0,0.8333333333333334,1649,1633,1,2
Residência,Residência,17.0,13.0,2.25,1633,1649,2,2
Trabalho,Trabalho,5.833333333333333,9.166666666666666,1.5,1649,1019,1,2
Residência,Residência,15.0,14.833333333333334,1.1666666666666667,1019,1649,2,2
Trabalho,Trabalho,7.666666666666667,10.666666666666666,1.6666666666666667,1649,1022,1,2
Residência,Residência,18.333333333333332,13.333333333333334,1.6666666666666667,1022,1649,2,2
Trabalho,Trabalho,7.333333333333333,11.166666666666666,1.9166666666666667,1649,1030,1,2
Residência,Residência,18.5,12.833333333333334,1.8333333333333333,1030,1649,2,2
Escola,Escola,5.833333333333333,5.5,1.25,1649,1009,1,2
Residência,Residência,11.333333333333334,18.5,1.25,1009,1649,2,2
Trabalho,Trabalho,5.0,12.0,1.8333333333333333,1649,1151,1,2
Residência,Residência,17.0,12.0,2.583333333333333,1151,1649,2,2
Saúde,Secundário,6.333333333333333,5.166666666666667,1.5833333333333333,1649,1012,1,2
Residência,Residência,11.5,18.83333333333333,1.0833333333333333,1012,1649,2,2
Escola,Escola,6.333333333333333,5.0,0.5833333333333334,1649,1640,1,2
Residência,Residência,11.333333333333334,19.0,0.8333333333333334,1640,1649,2,2
Escola,Escola,6.5,5.0,1.4166666666666667,1638,1010,1,2
Residência,Residência,11.5,18.5,1.1666666666666667,1010,1638,2,2
Trabalho,Trabalho,6.0,13.0,0.9166666666666666,1638,1802,1,2
Residência,Residência,19.0,11.0,1.0833333333333333,1802,1638,2,2
Escola,Escola,6.0,5.666666666666667,2.25,1638,1108,1,2
Residência,Residência,11.666666666666666,18.33333333333333,1.6666666666666667,1108,1638,2,2
Trabalho,Trabalho,5.583333333333333,11.416666666666666,1.1666666666666667,1638,1329,1,2
Residência,Residência,17.0,12.583333333333334,1.45,1329,1638,2,2
Trabalho,Trabalho,7.0,10.0,1.0,1638,1075,1,2
Residência,Residência,17.0,21.0,1.0,1075,1638,2,2
Trabalho,Trabalho,14.0,8.0,0.5833333333333334,1639,1654,1,2
Residência,Residência,22.0,16.0,0.8666666666666667,1654,1639,2,2
Lazer,Secundário,12.916666666666666,2.583333333333333,1.4166666666666667,1639,1057,1,2
Residência,Residência,15.5,21.416666666666668,2.25,1057,1639,2,2
Trabalho,Trabalho,5.0,14.0,1.8333333333333333,1639,5301,1,2
Residência,Residência,19.0,10.0,1.8333333333333333,5301,1639,2,2
Escola,Escola,6.333333333333333,4.25,0.75,1639,1624,1,3
Trabalho,Trabalho,10.583333333333334,6.416666666666667,2.9166666666666665,1624,1014,2,3
Outros,Secundário,17.0,16.5,1.75,1014,1639,3,3
Lazer,Secundário,9.5,1.8333333333333333,0.5,1631,1650,1,2
Residência,Residência,11.333333333333334,22.166666666666668,0.5833333333333334,1650,1631,2,2
Trabalho,Trabalho,6.75,10.25,1.25,1631,1017,1,2
Residência,Residência,17.0,13.75,1.3333333333333333,1017,1631,2,2
Outros,Secundário,9.0,1.3333333333333333,1.0,1631,1010,1,2
Residência,Residência,10.333333333333334,22.666666666666668,1.0,1010,1631,2,2
Saúde,Secundário,9.0,2.6666666666666665,1.2166666666666666,1631,1017,1,2
Residência,Residência,11.666666666666666,21.33333333333333,1.0,1017,1631,2,2
