,AH2011,Educação,Lazer,Negócios,Refeição,Saúde
0,10001,54.0,13.0,29.0,186.0,34.0
1,10002,33.0,10.0,11.0,145.0,4.0
2,10003,18.0,11.0,5.0,45.0,4.0
3,10004,34.0,6.0,7.0,78.0,11.0
4,10005,47.0,15.0,22.0,172.0,15.0
5,10006,9.0,5.0,3.0,12.0,0.0
6,10007,5.0,0.0,3.0,16.0,0.0
7,10008,25.0,8.0,1.0,56.0,4.0
8,10009,42.0,8.0,10.0,162.0,3.0
9,1001,167.0,29.0,94.0,248.0,105.0
10,10010,20.0,3.0,7.0,9.0,4.0
11,10012,4.0,2.0,2.0,10.0,0.0
12,10013,2.0,1.0,0.0,7.0,1.0
13,10014,9.0,1.0,3.0,33.0,1.0
14,10016,2.0,0.0,0.0,1.0,0.0
15,10018,5.0,2.0,0.0,12.0,0.0
16,1002,155.0,37.0,78.0,344.0,105.0
17,10020,12.0,2.0,4.0,24.0,0.0
18,10021,2.0,1.0,2.0,7.0,0.0
19,10022,0.0,0.0,0.0,7.0,1.0
20,10023,7.0,1.0,1.0,8.0,2.0
21,10024,2.0,0.0,0.0,3.0,0.0
22,10025,10.0,3.0,0.0,13.0,3.0
23,10026,9.0,2.0,6.0,44.0,1.0
24,10027,10.0,4.0,3.0,67.0,0.0
25,10028,26.0,13.0,3.0,67.0,5.0
26,1003,103.0,19.0,45.0,190.0,71.0
27,1004,194.0,34.0,116.0,290.0,160.0
28,1005,157.0,29.0,95.0,167.0,137.0
29,1006,97.0,8.0,65.0,153.0,94.0
30,1007,76.0,13.0,40.0,167.0,129.0
31,1008,106.0,25.0,76.0,343.0,41.0
32,1009,182.0,42.0,113.0,333.0,121.0
33,1010,336.0,77.0,301.0,742.0,126.0
34,1011,404.0,114.0,377.0,1153.0,269.0
35,1012,69.0,13.0,46.0,141.0,50.0
36,1013,1.0,0.0,0.0,3.0,0.0
37,1014,112.0,40.0,162.0,215.0,97.0
38,1015,74.0,13.0,32.0,135.0,23.0
39,1016,87.0,16.0,40.0,119.0,42.0
40,1017,74.0,11.0,44.0,144.0,231.0
41,1018,205.0,44.0,87.0,443.0,427.0
42,1019,120.0,23.0,77.0,168.0,233.0
43,1020,93.0,26.0,132.0,284.0,346.0
44,10201,1.0,3.0,1.0,13.0,0.0
45,10202,5.0,1.0,1.0,53.0,0.0
46,10204,0.0,0.0,0.0,7.0,1.0
47,1021,248.0,36.0,154.0,412.0,199.0
48,1022,206.0,35.0,72.0,217.0,193.0
49,1023,134.0,23.0,52.0,204.0,95.0
50,1024,122.0,26.0,98.0,306.0,83.0
51,1025,96.0,16.0,27.0,91.0,134.0
52,1026,99.0,26.0,90.0,267.0,95.0
53,1027,130.0,29.0,110.0,200.0,204.0
54,1028,45.0,9.0,31.0,110.0,81.0
55,1029,106.0,25.0,78.0,297.0,117.0
56,1030,175.0,51.0,37.0,76.0,139.0
57,1031,73.0,30.0,19.0,38.0,26.0
58,1032,72.0,39.0,4.0,186.0,2.0
59,1033,6.0,1.0,0.0,4.0,7.0
60,1034,180.0,53.0,66.0,143.0,104.0
61,1035,344.0,55.0,83.0,439.0,100.0
62,1036,155.0,40.0,35.0,217.0,42.0
63,1037,147.0,33.0,40.0,179.0,66.0
64,1038,173.0,32.0,41.0,126.0,55.0
65,1039,92.0,16.0,12.0,31.0,19.0
66,1040,157.0,29.0,24.0,30.0,46.0
67,1041,53.0,0.0,9.0,5.0,7.0
68,1042,113.0,27.0,23.0,132.0,30.0
69,1043,228.0,36.0,63.0,113.0,110.0
70,1044,83.0,26.0,55.0,156.0,43.0
71,1045,30.0,7.0,10.0,15.0,9.0
72,1046,84.0,23.0,19.0,108.0,23.0
73,1047,91.0,17.0,43.0,79.0,23.0
74,1048,52.0,8.0,16.0,26.0,9.0
75,1049,134.0,14.0,25.0,46.0,65.0
76,1050,78.0,18.0,13.0,57.0,35.0
77,1051,123.0,34.0,14.0,176.0,34.0
78,1052,386.0,69.0,80.0,208.0,108.0
79,1054,214.0,55.0,56.0,217.0,63.0
80,1055,24.0,10.0,7.0,28.0,7.0
81,1056,140.0,27.0,59.0,133.0,78.0
82,1057,263.0,98.0,74.0,245.0,87.0
83,1058,111.0,25.0,36.0,154.0,94.0
84,1059,1.0,0.0,0.0,1.0,0.0
85,1060,37.0,8.0,11.0,20.0,16.0
86,1061,21.0,8.0,2.0,59.0,0.0
87,1062,257.0,42.0,142.0,407.0,240.0
88,1063,102.0,22.0,40.0,110.0,36.0
89,1064,64.0,11.0,56.0,155.0,41.0
90,1065,48.0,13.0,28.0,147.0,32.0
91,1066,143.0,33.0,100.0,277.0,98.0
92,1067,40.0,8.0,47.0,93.0,64.0
93,1068,46.0,10.0,51.0,124.0,58.0
94,1069,137.0,39.0,148.0,524.0,61.0
95,1070,107.0,38.0,119.0,532.0,67.0
96,1071,34.0,5.0,12.0,51.0,23.0
97,1072,74.0,11.0,8.0,21.0,15.0
98,1073,37.0,8.0,22.0,33.0,14.0
99,1074,61.0,18.0,9.0,15.0,20.0
100,1075,72.0,25.0,25.0,163.0,13.0
101,1077,6.0,1.0,3.0,1.0,4.0
102,1078,37.0,5.0,16.0,43.0,61.0
103,1079,12.0,2.0,3.0,27.0,4.0
104,1080,18.0,6.0,8.0,42.0,5.0
105,1081,147.0,36.0,34.0,179.0,33.0
106,11001,31.0,1.0,17.0,130.0,23.0
107,11002,29.0,1.0,20.0,95.0,13.0
108,11003,4.0,2.0,1.0,10.0,3.0
109,11005,5.0,2.0,4.0,29.0,1.0
110,11006,8.0,0.0,4.0,30.0,0.0
